id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre
71430,"Vila do Pinheiro (Complexo da Maré) - Maré, Rio de Janeiro - RJ, 21046-185, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,VILA DO PINHEIRO (COMPLEXO DA MARE),-22.86742212	,-43.23812972,"13/05/2025, 00:20:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,false
71426,"Morro do Timbau - Maré, Rio de Janeiro - RJ, 21046-390, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,MORRO DO TIMBAU (COMPLEXO DA MARE),-22.86361529157231,-43.240904448626715,"13/05/2025, 00:57:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,false
71439,"Morro do Timbau (Complexo da Maré) - Maré, Rio de Janeiro - RJ, 21042-050, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,MORRO DO TIMBAU (COMPLEXO DA MARE),-22.86250847	,-43.24132626,"13/05/2025, 02:00:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,true
71439,"Morro do Timbau (Complexo da Maré) - Maré, Rio de Janeiro - RJ, 21042-050, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,MORRO DO TIMBAU (COMPLEXO DA MARE),-22.86250847	,-43.24132626,"13/05/2025, 02:00:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,true
71439,"Morro do Timbau (Complexo da Maré) - Maré, Rio de Janeiro - RJ, 21042-050, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,MORRO DO TIMBAU (COMPLEXO DA MARE),-22.86250847	,-43.24132626,"13/05/2025, 02:00:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,true
71432,"Rua Laurindo Filho - Morro da Primavera, Cavalcanti, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAVALCANTI,,MORRO DA PRIMAVERA,-22.869447,-43.3176696,"13/05/2025, 02:30:00",true,true,PM (9 BPM),Operação policial,,,false
71427,"Vila do João - Maré, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,VILA DO JOAO (COMPLEXO DA MARE),-22.8735209,-43.2373768,"13/05/2025, 03:29:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,false
71433,"Vila do João (Complexo da Maré) - Maré, Rio de Janeiro - RJ, 21046-630, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,VILA DO JOAO (COMPLEXO DA MARE),-22.87117627	,-43.2410853,"13/05/2025, 05:12:00",true,true,PM (BOPE); PM (GAM); PC (BPCHQ); PM (BAC); PM (RECOM); PM (BPVE); PM (22 BPM),Operação policial,,,false
71428,"Favela da Chacrinha - Praça Seca, Rio de Janeiro - RJ, 22733-040, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PRACA SECA,,FAVELA DA CHACRINHA,-22.9018158988203,	-43.36141036190782,"13/05/2025, 06:15:00",false,false,,Não identificado,,,false
71449,"Avenida Dom Hélder Câmara - Piedade, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PIEDADE,,,-22.8849004,-43.3139367,"13/05/2025, 13:00:00",false,false,,Tentativa/Roubo,,,false
