id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded,neighborhood_cleaned
31394,"RJ-099 - Santana, Itaguaí - RJ, 23845, Brasil",Sudeste,Rio de Janeiro,Itaguaí,SANTANA,,,-22.8657814,-43.7532528,"19/10/2019, 15:00:00",True,True,PM,Ação policial,,,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,santana
31390,"Barrão, Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8604006,-43.4884116,"19/10/2019, 15:43:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
31389,"Av. Chrisóstomo Pimentel de Oliveira, 2000 - Pavuna, Rio de Janeiro - RJ, 21655-614, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PAVUNA,,,-22.814945,-43.381179,"19/10/2019, 15:48:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pavuna
31391,"Palmeira - Centro, Belford Roxo - RJ, 26112-190, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,CENTRO,,MORRO DA PALMEIRA,-22.7555998,-43.4034979,"19/10/2019, 16:20:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centro
31392,"R. Vinte e Dois, 1407 - Valverde, Nova Iguaçu - RJ, 26290-399, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,VALVERDE,,,-22.7517069,-43.5249364,"19/10/2019, 16:27:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valverde
31398,"Comunidade do Cação - Av. Pref. Ismael Cavalcanti - Brisa Mar, Itaguaí - RJ, Brasil",Sudeste,Rio de Janeiro,Itaguaí,VILA MARGARIDA,,COMUNIDADE DO CACAO,-22.8767061,-43.8019994,"19/10/2019, 17:20:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila margarida
31396,"Avenida Joaquim da Costa Lima, Centro, Belford Roxo - RJ, 26112-050, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,CENTRO,,,-22.7596534,-43.4019675,"19/10/2019, 19:41:00",True,True,N�o identificado,Tentativa/Roubo,,Perseguição,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,centro
31399,"Engenho, Itaguaí - RJ, Brasil",Sudeste,Rio de Janeiro,Itaguaí,ENGENHO,,,-22.858189,-43.7884535,"19/10/2019, 20:02:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,engenho
31397,"R. Amarildo - Jardim da Alegria, São João de Meriti - RJ, 25570-760, Brasil",Sudeste,Rio de Janeiro,São João de Meriti,JARDIM PARAISO,JARDIM ALEGRIA,,-22.7643601,-43.3448421,"19/10/2019, 20:41:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jardim paraiso
31403,"Estrada do Pacheco, São Gonçalo - RJ, 24731-223, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,PACHECO I,,,-22.8230112,-42.9764693,"19/10/2019, 22:00:00",True,True,PM,Ação policial,,,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,pacheco i
31420,"R. Austria - Itaupuaçu, Maricá - RJ, Brasil",Sudeste,Rio de Janeiro,Maricá,CHACARAS DE INOA,,,-22.943764,-42.9557439,"19/10/2019, 22:00:00",False,False,,Homicidio/Tentativa,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,chacaras de inoa
31400,"Complexo do Apollo - Bom Retiro, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,BOM RETIRO,,,-22.791137,-42.9544806,"20/10/2019, 00:46:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bom retiro
31401,"Complexo das Guíndias, Santa Luzia, São Gonçalo - RJ, 24722-215, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,SANTA LUZIA,,FAVELA DAS GUINDIAS,-22.7991361,-42.9773167,"20/10/2019, 01:40:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,santa luzia
31406,"Venda das Pedras, Itaboraí - RJ, 24800, Brasil",Sudeste,Rio de Janeiro,Itaboraí,VENDA DAS PEDRAS,,,-22.7397673,-42.8422349,"20/10/2019, 06:00:00",True,True,PM,Operação policial,,,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,venda das pedras
