,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
0,006,2026-04,19.01,0.0,4.28,27.0,6.42,2.58,2026-04-01,2026-04-30,0.11675152749490834,-1.4435868211055718,baixo
1,007,2026-04,38.02,5.59,4.28,46.17,10.0,2.58,2026-04-01,2026-04-30,0.1936863543788187,-1.1545634095923192,baixo
2,010,2026-04,56.87,9.29,2.77,71.92,12.83,1.5,2026-04-01,2026-04-30,0.23564154786150715,-0.996949054141015,baixo
3,10,2026-04,70.93,8.73,5.32,71.58,16.42,5.25,2026-04-01,2026-04-30,0.3106415478615071,-0.7151942658160505,baixo
4,100,2026-04,104.51,17.3,4.56,118.0,18.0,2.75,2026-04-01,2026-04-30,0.38686354378818744,-0.42884876810900885,medio
5,104,2026-04,164.63,40.28,6.06,158.17,36.92,4.25,2026-04-01,2026-04-30,0.5588085539714868,0.21710229786071625,medio
6,107,2026-04,83.53,13.51,3.29,99.42,15.92,1.83,2026-04-01,2026-04-30,0.3212830957230142,-0.675216838280465,baixo
7,11,2026-04,70.93,8.73,5.91,71.58,16.42,5.75,2026-04-01,2026-04-30,0.3240835030549898,-0.6646964626132056,baixo
8,117,2026-04,49.31,12.35,5.29,53.83,14.42,2.67,2026-04-01,2026-04-30,0.31720977596741345,-0.6905192028873876,baixo
9,12,2026-04,63.64,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.23080448065173115,-1.0151206121117358,baixo
10,13,2026-04,63.64,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.23080448065173115,-1.0151206121117358,baixo
11,133,2026-04,64.14,24.33,4.06,69.5,25.58,3.17,2026-04-01,2026-04-30,0.3570773930753564,-0.5407473092971314,baixo
12,14,2026-04,70.93,8.73,7.81,71.58,16.42,7.17,2026-04-01,2026-04-30,0.3659368635437882,-0.5074646662770745,baixo
13,15,2026-04,70.93,8.73,5.91,71.58,16.42,5.75,2026-04-01,2026-04-30,0.3240835030549898,-0.6646964626132056,baixo
14,16,2026-04,63.64,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.23080448065173115,-1.0151206121117358,baixo
15,161,2026-04,159.53,40.35,4.37,163.33,37.92,2.92,2026-04-01,2026-04-30,0.5240325865580449,0.0864583600291137,medio
16,165,2026-04,64.14,24.33,4.0,69.5,25.58,2.25,2026-04-01,2026-04-30,0.3555498981670061,-0.5464856960247275,baixo
17,167,2026-04,96.88,21.69,3.8,114.17,21.17,2.5,2026-04-01,2026-04-30,0.37291242362525456,-0.4812593668877195,medio
18,169,2026-04,124.31,25.67,5.66,132.75,23.25,3.42,2026-04-01,2026-04-30,0.4493890020366599,-0.19395747139274533,medio
19,17,2026-04,16.88,6.69,8.29,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28019348268839106,-0.8295794412527977,baixo
20,18,2026-04,62.43,4.32,2.69,63.08,14.67,3.25,2026-04-01,2026-04-30,0.13828920570264766,-1.362675568246468,baixo
21,19,2026-04,11.79,2.21,2.96,16.83,4.5,3.33,2026-04-01,2026-04-30,0.0609979633401222,-1.6530379366628267,baixo
22,20,2026-04,19.55,5.16,3.68,23.83,5.67,4.5,2026-04-01,2026-04-30,0.15529531568228105,-1.2987881960125658,baixo
23,201,2026-04,27.32,2.95,4.86,27.92,9.67,3.17,2026-04-01,2026-04-30,0.15020366598778004,-1.3179161517712192,baixo
24,202,2026-04,68.42,12.26,3.25,72.83,16.08,1.83,2026-04-01,2026-04-30,0.29287169042769856,-0.7819508314137509,baixo
25,209,2026-04,88.46,27.12,2.96,98.25,28.67,1.92,2026-04-01,2026-04-30,0.36109979633401224,-0.5256362242477952,baixo
26,210,2026-04,119.48,48.24,3.2,129.5,48.67,2.25,2026-04-01,2026-04-30,0.47123217922606925,-0.11189854118812223,medio
27,2110,2026-04,220.88,56.8,10.11,211.17,56.5,14.17,2026-04-01,2026-04-30,0.7535641547861507,0.9487466056292087,alto
28,2111,2026-04,225.46,59.35,16.29,221.0,58.17,18.25,2026-04-01,2026-04-30,0.8487270875763748,1.306248098758441,alto
29,2112,2026-04,178.71,63.28,16.6,192.08,58.42,11.5,2026-04-01,2026-04-30,0.8327902240325865,1.2463775972338555,alto
30,2114,2026-04,220.88,56.8,8.41,211.17,56.5,12.75,2026-04-01,2026-04-30,0.7376782077393076,0.8890673836622104,alto
31,217,2026-04,119.7,24.34,11.21,111.08,28.58,14.08,2026-04-01,2026-04-30,0.5394093686354379,0.14422478642024672,medio
32,22,2026-04,46.22,0.0,2.48,47.75,10.75,1.25,2026-04-01,2026-04-30,0.084979633401222,-1.5629452650395692,baixo
33,220,2026-04,99.04,22.38,5.75,110.5,27.33,4.5,2026-04-01,2026-04-30,0.41639511201629326,-0.3179066247088194,medio
34,229,2026-04,75.65,17.54,7.8,75.0,23.08,6.0,2026-04-01,2026-04-30,0.4238289205702648,-0.28997980930118533,medio
35,2303,2026-04,217.61,110.25,27.28,215.0,105.5,28.0,2026-04-01,2026-04-30,0.9810590631364562,1.8033836689258425,alto
36,2305,2026-04,131.41,56.81,14.2,131.83,52.67,13.58,2026-04-01,2026-04-30,0.7252036659877801,0.8422038920535094,alto
37,2307,2026-04,188.14,107.25,29.55,187.83,101.75,33.92,2026-04-01,2026-04-30,0.9535641547861506,1.700092707829114,alto
38,2308,2026-04,213.45,108.29,25.65,208.0,104.33,26.42,2026-04-01,2026-04-30,0.9668533604887983,1.7500166723591994,alto
39,2309,2026-04,188.14,107.25,27.75,187.83,101.75,33.17,2026-04-01,2026-04-30,0.9517311608961303,1.693206643755999,alto
40,2310,2026-04,193.67,102.48,22.4,186.83,99.33,27.42,2026-04-01,2026-04-30,0.929684317718941,1.61038259532103,alto
41,232,2026-04,173.34,49.94,7.56,162.0,47.33,11.0,2026-04-01,2026-04-30,0.6380346232179227,0.5147332894653635,alto
42,2334,2026-04,176.6,32.87,11.8,191.25,33.92,10.0,2026-04-01,2026-04-30,0.6380855397148676,0.5149245690229496,alto
43,2335,2026-04,171.0,30.28,10.68,185.83,32.17,9.08,2026-04-01,2026-04-30,0.6057026476578411,0.39327077039791386,medio
44,2336,2026-04,213.45,108.29,25.81,208.0,104.33,25.42,2026-04-01,2026-04-30,0.9674643584521385,1.7523120270502381,alto
45,2337,2026-04,171.45,31.58,10.42,186.5,32.25,9.67,2026-04-01,2026-04-30,0.6086558044806517,0.4043649847379329,medio
46,2338,2026-04,171.06,31.57,11.8,190.58,33.83,9.08,2026-04-01,2026-04-30,0.6211812627291242,0.4514197559042203,medio
47,2339,2026-04,213.68,108.29,26.6,208.0,104.33,30.67,2026-04-01,2026-04-30,0.9706720977596741,1.7643626391781897,alto
48,2342,2026-04,133.41,52.6,7.72,145.08,51.5,8.33,2026-04-01,2026-04-30,0.6284114052953157,0.47858145308150823,medio
49,2343,2026-04,133.41,52.6,7.69,145.08,51.5,7.58,2026-04-01,2026-04-30,0.6259674134419552,0.4694000343173545,medio
50,2344,2026-04,133.41,52.6,7.96,145.08,51.5,8.58,2026-04-01,2026-04-30,0.6342158859470468,0.500387322646373,alto
51,2345,2026-04,214.05,83.15,16.53,214.17,86.33,23.17,2026-04-01,2026-04-30,0.8911405295315682,1.4655839702280236,alto
52,238,2026-04,166.07,45.51,16.25,154.58,45.25,18.42,2026-04-01,2026-04-30,0.7241853360488798,0.8383783009017786,alto
53,2381,2026-04,216.95,109.37,27.21,209.5,104.92,31.83,2026-04-01,2026-04-30,0.9781059063136456,1.7922894545858234,alto
54,2383,2026-04,218.51,111.34,27.28,216.5,106.08,28.17,2026-04-01,2026-04-30,0.9835030549898167,1.8125650876899964,alto
55,239,2026-04,111.58,43.13,10.38,107.83,40.42,8.92,2026-04-01,2026-04-30,0.5936863543788187,0.34812879480749176,medio
56,247,2026-04,141.86,47.33,6.89,132.67,44.08,4.92,2026-04-01,2026-04-30,0.5744399185336049,0.2758251220397821,medio
57,249,2026-04,139.88,48.0,8.15,127.0,44.0,6.5,2026-04-01,2026-04-30,0.6075356415478615,0.4001568344710294,medio
58,25,2026-04,63.71,6.11,3.85,64.58,15.25,4.08,2026-04-01,2026-04-30,0.2134928716904277,-1.0801556616911574,baixo
59,254,2026-04,171.35,60.22,15.98,167.67,60.58,21.08,2026-04-01,2026-04-30,0.79949083503055,1.1212807665722626,alto
60,2613,2026-04,153.3,34.01,5.49,153.42,38.33,6.0,2026-04-01,2026-04-30,0.5105906313645622,0.03596055682626875,medio
61,2614,2026-04,147.52,29.67,7.51,138.08,34.42,7.25,2026-04-01,2026-04-30,0.5312118126272912,0.11342877764881473,medio
62,265,2026-04,183.56,85.79,16.27,193.5,82.75,21.25,2026-04-01,2026-04-30,0.8686863543788187,1.381229685332362,alto
63,275,2026-04,160.44,73.67,3.99,167.83,66.42,3.33,2026-04-01,2026-04-30,0.630346232179226,0.48585007626979637,medio
64,277,2026-04,208.8,91.01,16.71,212.92,91.08,21.5,2026-04-01,2026-04-30,0.9009164969450101,1.5023096452846378,alto
65,28,2026-04,9.19,8.26,2.71,8.5,1.75,2.58,2026-04-01,2026-04-30,0.15040733197556008,-1.317151033540873,baixo
66,2802,2026-04,71.0,8.73,5.91,71.58,16.42,5.75,2026-04-01,2026-04-30,0.32535641547861505,-0.6599144736735423,baixo
67,2803,2026-04,79.8,13.9,11.44,80.17,21.75,12.33,2026-04-01,2026-04-30,0.46894093686354377,-0.12050612127951635,medio
68,2804,2026-04,79.8,13.9,11.07,80.17,21.75,11.0,2026-04-01,2026-04-30,0.4664969450101833,-0.12968754004366992,medio
69,292,2026-04,157.42,61.57,9.94,158.58,59.5,10.67,2026-04-01,2026-04-30,0.7156822810590631,0.8064346147848271,alto
70,296,2026-04,192.93,85.52,14.04,198.08,78.83,13.92,2026-04-01,2026-04-30,0.8404276985743381,1.2750695308718358,alto
71,298,2026-04,215.61,98.54,15.22,204.33,95.67,20.08,2026-04-01,2026-04-30,0.8907841140529531,1.4642450133249176,alto
72,300,2026-04,206.75,105.56,17.89,202.33,103.75,17.58,2026-04-01,2026-04-30,0.9292769857433809,1.6088523588603378,alto
73,301,2026-04,147.32,34.15,7.6,145.83,39.58,6.75,2026-04-01,2026-04-30,0.5545315682281059,0.20103481502344733,medio
74,302,2026-04,104.08,22.65,6.56,109.58,29.42,6.0,2026-04-01,2026-04-30,0.4407331975560082,-0.2264749961824559,medio
75,306,2026-04,226.35,59.35,16.29,221.0,58.17,18.25,2026-04-01,2026-04-30,0.849745417515275,1.3100736899101717,alto
76,31,2026-04,162.65,32.49,18.39,155.5,51.5,22.67,2026-04-01,2026-04-30,0.69969450101833,0.746372833702656,alto
77,311,2026-04,195.72,83.9,7.86,199.92,83.92,6.25,2026-04-01,2026-04-30,0.764562118126273,0.9900629900679002,alto
78,312,2026-04,168.93,73.1,7.17,171.0,67.42,6.17,2026-04-01,2026-04-30,0.7010692464358452,0.7515373817574923,alto
79,313,2026-04,137.17,66.44,7.59,144.92,60.25,5.58,2026-04-01,2026-04-30,0.6740325865580449,0.649967936679043,alto
80,315,2026-04,264.55,84.88,12.54,255.75,83.25,13.67,2026-04-01,2026-04-30,0.8556008146639511,1.3320708390326228,alto
81,321,2026-04,89.75,46.17,10.51,100.17,45.08,9.58,2026-04-01,2026-04-30,0.5837067209775968,0.31063800152053156,medio
82,323,2026-04,134.08,52.6,7.72,145.08,51.5,8.33,2026-04-01,2026-04-30,0.6296843177189408,0.4833634420211712,medio
83,324,2026-04,126.87,50.05,8.85,135.67,49.33,9.17,2026-04-01,2026-04-30,0.6187881873727088,0.4424296166976534,medio
84,325,2026-04,112.61,49.36,7.45,117.92,47.75,7.5,2026-04-01,2026-04-30,0.5712830957230143,0.2639657894694171,medio
85,326,2026-04,126.87,50.05,9.84,135.67,49.33,10.17,2026-04-01,2026-04-30,0.6273421588594704,0.4745645823721908,medio
86,327,2026-04,134.08,52.6,7.69,145.08,51.5,7.58,2026-04-01,2026-04-30,0.6272403258655804,0.47418202325701786,medio
87,328,2026-04,126.87,50.05,8.78,135.67,49.33,9.92,2026-04-01,2026-04-30,0.6175661914460285,0.43783890731557656,medio
88,329,2026-04,126.87,50.05,10.29,135.67,49.33,10.5,2026-04-01,2026-04-30,0.6346741344195519,0.5021088386646517,alto
89,335,2026-04,132.21,56.81,13.94,131.83,52.67,12.75,2026-04-01,2026-04-30,0.7202647657841141,0.8236497749676158,alto
90,338,2026-04,221.26,75.13,16.26,219.83,72.33,11.25,2026-04-01,2026-04-30,0.8832484725050916,1.4359356388021107,alto
91,341,2026-04,221.74,56.87,16.22,211.58,56.0,17.83,2026-04-01,2026-04-30,0.8374745417515275,1.2639753165318166,alto
92,342,2026-04,132.21,56.81,11.79,131.83,52.67,11.92,2026-04-01,2026-04-30,0.6970468431771895,0.7364262967081562,alto
93,343,2026-04,272.85,83.57,16.02,267.58,83.08,16.17,2026-04-01,2026-04-30,0.8981160896130346,1.4917892696173787,alto
94,348,2026-04,232.86,79.41,16.66,235.17,76.25,13.5,2026-04-01,2026-04-30,0.9021384928716905,1.506900354666715,alto
95,349,2026-04,176.16,70.37,14.23,173.83,67.5,11.67,2026-04-01,2026-04-30,0.8089613034623219,1.156858764283358,alto
96,35,2026-04,147.19,28.01,13.96,145.17,44.5,15.92,2026-04-01,2026-04-30,0.6114562118126272,0.4148853604051921,medio
97,350,2026-04,121.05,50.04,9.39,132.17,47.33,7.83,2026-04-01,2026-04-30,0.6129327902240326,0.4204324675752018,medio
98,352,2026-04,273.09,87.89,12.49,282.92,87.0,14.58,2026-04-01,2026-04-30,0.8618126272912423,1.3554069450581798,alto
99,353,2026-04,214.35,60.71,26.17,197.08,68.25,38.5,2026-04-01,2026-04-30,0.889816700610998,1.4606107017307741,alto
100,355,2026-04,152.09,61.6,15.5,161.08,63.83,16.0,2026-04-01,2026-04-30,0.7839613034623218,1.0629405015083697,alto
101,361,2026-04,280.55,90.68,12.54,292.33,89.17,13.67,2026-04-01,2026-04-30,0.864969450101833,1.3672662776285451,alto
102,362,2026-04,143.0,87.45,15.59,135.5,83.83,14.58,2026-04-01,2026-04-30,0.8260183299389003,1.2209374160748472,alto
103,363,2026-04,196.47,64.43,16.94,193.0,70.17,22.25,2026-04-01,2026-04-30,0.8510692464358453,1.3150469584074216,alto
104,368,2026-04,228.79,58.44,18.31,217.08,58.25,19.25,2026-04-01,2026-04-30,0.8687372708757637,1.3814209648899485,alto
105,369,2026-04,195.77,102.48,20.61,186.83,99.33,26.67,2026-04-01,2026-04-30,0.9286659877800407,1.6065570041692991,alto
106,371,2026-04,231.11,97.01,15.4,236.0,96.42,22.92,2026-04-01,2026-04-30,0.9022403258655805,1.507282913781888,alto
107,378,2026-04,208.77,105.85,16.12,201.92,104.25,19.0,2026-04-01,2026-04-30,0.9080448065173117,1.5290887833467532,alto
108,380,2026-04,222.31,75.13,22.84,219.83,72.33,18.83,2026-04-01,2026-04-30,0.9233706720977597,1.5866639301802996,alto
109,383,2026-04,194.24,64.61,19.8,173.25,69.58,24.42,2026-04-01,2026-04-30,0.8715376782077393,1.391941340557208,alto
110,384,2026-04,199.05,103.71,17.4,201.17,98.0,21.33,2026-04-01,2026-04-30,0.9158350305498981,1.5583545556574925,alto
111,385,2026-04,209.62,106.87,18.37,208.58,101.17,21.08,2026-04-01,2026-04-30,0.9382892057026477,1.6427088405531545,alto
112,386,2026-04,185.27,100.07,16.65,183.0,95.67,16.08,2026-04-01,2026-04-30,0.8908859470468432,1.464627572440091,alto
113,388,2026-04,215.01,107.4,27.28,205.58,103.33,28.0,2026-04-01,2026-04-30,0.9730651731160895,1.7733527783847565,alto
114,390,2026-04,199.79,54.33,17.83,201.75,54.33,17.83,2026-04-01,2026-04-30,0.8278004073319756,1.2276322005903755,alto
115,393,2026-04,195.68,102.48,19.38,186.83,99.33,22.17,2026-04-01,2026-04-30,0.9227596741344195,1.5843685754892611,alto
116,397,2026-04,206.44,105.44,25.37,198.58,102.17,24.58,2026-04-01,2026-04-30,0.9470977596741343,1.6758002040156241,alto
117,399,2026-04,199.05,103.71,17.4,201.17,98.0,21.33,2026-04-01,2026-04-30,0.9158350305498981,1.5583545556574925,alto
118,40,2026-04,148.14,28.01,13.96,145.17,44.5,15.92,2026-04-01,2026-04-30,0.6129837067209776,0.42062374713278833,medio
119,409,2026-04,131.46,28.0,10.16,134.08,30.83,7.0,2026-04-01,2026-04-30,0.5527494908350306,0.1943400305079187,medio
120,41,2026-04,160.14,32.05,19.22,160.5,48.42,27.83,2026-04-01,2026-04-30,0.6973523421588594,0.7375739740536751,alto
121,410,2026-04,131.46,28.0,10.16,134.08,30.83,7.0,2026-04-01,2026-04-30,0.5527494908350306,0.1943400305079187,medio
122,415,2026-04,186.35,38.7,7.58,197.58,39.33,6.25,2026-04-01,2026-04-30,0.6079429735234216,0.40168707093172173,medio
123,416,2026-04,119.15,25.97,6.74,124.67,28.67,5.08,2026-04-01,2026-04-30,0.46812627291242365,-0.12356659420090073,medio
124,42,2026-04,94.11,44.6,15.33,96.75,49.75,18.42,2026-04-01,2026-04-30,0.6371690427698574,0.511481536986392,alto
125,422,2026-04,173.88,45.1,15.21,176.25,45.75,16.83,2026-04-01,2026-04-30,0.7195010183299388,0.8207805816038173,alto
126,426,2026-04,137.9,27.14,8.16,127.83,29.42,6.67,2026-04-01,2026-04-30,0.5321792260692464,0.11706308924295879,medio
127,43,2026-04,170.68,57.47,24.59,165.25,67.0,27.33,2026-04-01,2026-04-30,0.8361507128309572,1.2590020480345667,alto
