,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
228,766,2026-04,100.49,21.55,10.93,97.42,33.75,21.5,2026-04-01,2026-04-30,0.5074338085539715,0.02410122425590335,medio
229,770,2026-04,42.52,36.15,12.72,38.67,40.92,14.25,2026-04-01,2026-04-30,0.5234215885947047,0.08416300533807504,medio
230,771,2026-04,42.52,36.15,12.9,38.67,40.92,14.58,2026-04-01,2026-04-30,0.525254582484725,0.09104906941119016,medio
231,774,2026-04,50.5,18.04,3.52,48.0,26.0,5.25,2026-04-01,2026-04-30,0.31079429735234215,-0.7146204271432909,baixo
232,775,2026-04,50.5,18.04,6.59,48.0,26.0,8.5,2026-04-01,2026-04-30,0.37097759674134423,-0.48852799007600756,medio
233,778,2026-04,45.45,34.59,13.47,41.42,44.25,22.08,2026-04-01,2026-04-30,0.5266802443991854,0.0964048970236134,medio
234,779,2026-04,58.23,40.5,4.28,57.0,53.25,6.92,2026-04-01,2026-04-30,0.4233197556008147,-0.2918926048770506,medio
235,780,2026-04,58.23,40.5,10.21,57.0,53.25,18.17,2026-04-01,2026-04-30,0.529633401221996,0.10749911136363245,medio
236,783,2026-04,25.95,11.06,2.85,26.75,11.25,6.67,2026-04-01,2026-04-30,0.23431771894093686,-1.0019223226382648,baixo
237,785,2026-04,84.66,50.74,12.14,71.83,64.33,19.75,2026-04-01,2026-04-30,0.6263747454175153,0.4709302707780468,medio
238,786,2026-04,70.35,21.08,16.87,61.42,32.58,24.42,2026-04-01,2026-04-30,0.55020366598778,0.18477605262859195,medio
239,788,2026-04,21.38,9.32,10.32,23.0,9.67,10.08,2026-04-01,2026-04-30,0.35763747454175154,-0.5386432341636795,baixo
240,790,2026-04,79.67,48.23,20.7,67.58,57.42,28.17,2026-04-01,2026-04-30,0.6938900203665987,0.7245669641377908,alto
241,791,2026-04,10.56,6.43,3.37,11.25,6.83,3.17,2026-04-01,2026-04-30,0.15560081466395112,-1.2976405186670463,baixo
242,793,2026-04,17.19,23.25,2.68,18.58,30.33,3.08,2026-04-01,2026-04-30,0.26089613034623216,-0.9020743935780943,baixo
243,794,2026-04,67.18,20.72,14.14,59.5,31.42,22.17,2026-04-01,2026-04-30,0.504989816700611,0.014919805491749993,medio
244,796,2026-04,21.38,9.32,8.87,23.0,9.67,10.5,2026-04-01,2026-04-30,0.34205702647657843,-0.5971747787851589,baixo
245,798,2026-04,21.38,9.32,9.62,23.0,9.67,10.83,2026-04-01,2026-04-30,0.34755600814663956,-0.5765165865658132,baixo
246,799,2026-04,49.87,33.96,9.37,41.75,42.08,11.92,2026-04-01,2026-04-30,0.4802443991853361,-0.07804205949530545,medio
247,80,2026-04,55.28,28.05,5.45,57.33,28.33,4.17,2026-04-01,2026-04-30,0.3892057026476578,-0.42004990846002865,medio
